"Year","S&P 500","UPRO","3X UPRO","4X UPRO","5X UPRO","6X UPRO","","","",""
"1936","32.55","97.64999999999999","261.15","335.8","401.75","467.1","","","",""
"1935","54.93","164.79","462.57","604.36","737.4499999999999","869.9399999999998","","","",""
"1934","-8.01","-24.03","-103.89","-150.92","-206.65","-262.98","","","",""
"1933","56.79","170.37","479.3100000000001","626.6800000000001","765.3499999999999","903.42","","","",""
"1932","-5.81","-17.43","-84.09","-124.52","-173.65","-223.38","","","",""
"1931","-44.2","-132.6","-429.6","-585.2","-749.5000000000002","-914.4000000000002","","","",""
"1930","-22.72","-68.16","-236.28","-327.44","-427.3","-527.76","","","",""
"1929","-9.460000000000001","-28.38","-116.94","-168.32","-228.4","-289.08","","","",""
"1928","47.57","142.71","396.33","516.0400000000001","627.0500000000001","737.46","","","",""
"1927","37.1","111.3","302.1","390.4","470.0000000000001","549.0000000000001","","","",""
"1926","11.51","34.53","71.78999999999999","83.32000000000001","86.15000000000001","88.38","","","",""
"1925","25.83","77.48999999999999","200.67","255.16","300.95","346.14","","","",""
"1924","27.1","81.30000000000001","212.1000000000001","270.4","320.0000000000001","369.0000000000001","","","",""
"1923","5.45","16.35","17.25000000000001","10.60000000000001","-4.749999999999996","-20.7","","","",""
"1922","29.07","87.21000000000001","229.83","294.04","349.5500000000001","404.46","","","",""
"1921","10.15","30.45","59.55","67.00000000000001","65.75000000000001","63.90000000000001","","","",""
"1920","-13.95","-41.84999999999999","-157.35","-222.2","-295.7499999999999","-369.9","","","",""
"1919","19.67","59.01000000000001","145.23","181.24","208.55","235.26","","","",""
"1918","18.21","54.63","132.09","163.72","186.65","208.98","","","",""
"1917","-18.62","-55.86","-199.38","-278.24","-365.8","-453.96","","","",""
"1916","8.119999999999999","24.36","41.28","42.64","35.3","27.35999999999999","","","",""
"1915","31.2","93.59999999999999","249","319.6","381.5","442.8","","","",""
"1914","-5.39","-16.17","-80.30999999999999","-119.48","-167.35","-215.82","","","",""
"1913","-4.73","-14.19","-74.37","-111.56","-157.45","-203.94","","","",""
"1912","7.18","21.54","32.82","31.36","21.19999999999999","10.43999999999999","","","",""
"1911","3.52","10.56","-0.1199999999999974","-12.56","-33.7","-55.44","","","",""
"1910","-3.39","-10.17","-62.31","-95.47999999999999","-137.35","-179.82","","","",""
"1909","16.15","48.45","113.55","139","155.75","171.9","","","",""
"1908","39.47","118.41","323.43","418.84","505.55","591.66","","","",""
"1907","-24.21","-72.63","-249.69","-345.32","-449.65","-554.5799999999999","","","",""
"1906","0.64","1.92","-26.04","-47.12","-76.90000000000001","-107.28","","","",""
"1905","21.29","63.87","159.81","200.68","232.85","264.42","","","",""
"1904","32.16","96.47999999999999","257.64","331.1199999999999","395.9","460.0799999999999","","","",""
"1903","-17.09","-51.27","-185.61","-259.88","-342.85","-426.42","","","",""
"1902","8.279999999999999","24.84","42.71999999999999","44.55999999999999","37.69999999999997","30.23999999999997","","","",""
"1901","19.45","58.34999999999999","143.25","178.6","205.25","231.3","","","",""
"1900","20.84","62.52","155.76","195.28","226.1","256.32","","","",""
"1899","3.66","10.98","1.140000000000002","-10.88","-31.6","-52.92","","","",""
"1898","29.32","87.96000000000001","232.08","297.04","353.3000000000001","408.96","","","",""
"1897","20.37","61.11","151.53","189.64","219.05","247.86","","","",""
"1896","3.25","9.75","-2.549999999999999","-15.8","-37.75","-60.3","","","",""
"1895","5.01","15.03","13.29","5.32","-11.35000000000001","-28.62000000000001","","","",""
"1894","3.63","10.89","0.8700000000000028","-11.23999999999999","-32.05","-53.46","","","",""
"1893","-18.79","-56.37","-200.91","-280.28","-368.35","-457.02","","","",""
"1892","6.14","18.42","23.45999999999999","18.88","5.599999999999987","-8.280000000000015","","","",""
"1891","18.88","56.64","138.12","171.76","196.7","221.04","","","",""
"1890","-6.16","-18.48","-87.23999999999999","-128.72","-178.9","-229.68","","","",""
"1889","7.09","21.27","32.01","30.28","19.84999999999999","8.819999999999993","","","",""
"1888","3.34","10.02","-1.74","-14.72","-36.40000000000001","-58.68000000000001","","","",""
"1887","-0.64","-1.92","-37.56","-62.48","-96.09999999999999","-130.32","","","",""
"1886","11.98","35.94","76.01999999999998","88.95999999999999","93.19999999999999","96.83999999999997","","","",""
"1885","30.06","90.17999999999999","238.74","305.92","364.4","422.28","","","",""
"1884","-12.32","-36.96","-142.68","-202.64","-271.3","-340.5600000000001","","","",""
"1883","-5.49","-16.47","-81.21000000000001","-120.68","-168.85","-217.62","","","",""
"1882","3.61","10.83","0.6900000000000013","-11.48","-32.35","-53.82000000000001","","","",""
"1881","0.27","0.8100000000000001","-29.37","-51.56","-82.45000000000002","-113.94","","","",""
"1880","26.63","79.89","207.87","264.76","312.95","360.54","","","",""
"1879","49.37","148.11","412.53","537.64","654.0499999999998","769.8599999999999","","","",""
"1878","16.29","48.87","114.81","140.68","157.85","174.42","","","",""
"1877","-1.06","-3.18","-41.34","-67.52","-102.4","-137.88","","","",""
"1876","-14.15","-42.45","-159.15","-224.6","-298.75","-373.5","","","",""
"1875","5.44","16.32","17.16","10.48","-4.900000000000002","-20.88","","","",""
"1874","4.72","14.16","10.68","1.840000000000003","-15.7","-33.84","","","",""
"1873","-2.49","-7.470000000000001","-54.21","-84.68000000000001","-123.85","-163.62","","","",""
"1872","11.16","33.48","68.64000000000001","79.12000000000002","80.90000000000002","82.08000000000001","","","",""
"1871","15.64","46.92","108.96","132.88","148.1","162.72","","","",""
